suka,0
,1092.0
,843.0
,734.0
,2.0
,397.0
,27.0
,617.0
,23.0
,15.0
,5.0
,4.0
,5.0
,13.0
,0.0
,3.0
,3.0
,1.0
,1.0
,7.0
,4.0
,9.0
,5.0
,30.0
,4.0
,99.0
,5.0
,0.0
,7.0
,10.0
,0.0
,5.0
,13.0
,6.0
,4.0
,4.0
,244.0
,2.0
,14.0
,519.0
,146.0
,300.0
,8.0
,23.0
,0.0
,162.0
,0.0
,2.0
,0.0
,92.0
,35.0
,2.0
,4.0
,3.0
,2.0
,2.0
,2.0
,4.0
,3.0
,0.0
,0.0
,2.0
,3.0
,2.0
,3.0
,3.0
,0.0
,2.0
,13.0
,27.0
,14.0
,15.0
,74.0
,10.0
,9.0
,9.0
,8.0
,3.0
,6.0
,12.0
,4.0
,3.0
,4.0
,5.0
,7.0
,4.0
,1.0
,9.0
,5.0
,48.0
,39.0
,41.0
,16.0
,57.0
,13.0
,15.0
,13.0
,15.0
,416.0
,28.0
,15.0
,21.0
,24.0
,15.0
,15.0
,18.0
,3.0
,11.0
,14.0
,13.0
,4.0
,4.0
,7.0
,11.0
,15.0
,6.0
,7.0
,10.0
,8.0
,9.0
,10.0
,10.0
,18.0
,6.0
,11.0
,7.0
,7.0
,9.0
,10.0
,10.0
,4.0
,7.0
,13.0
,11.0
,5.0
,4.0
,89.0
,4.0
,4.0
,1.0
,5.0
,4.0
,14.0
,4.0
,8.0
,4.0
,8.0
,3.0
,11.0
,0.0
,2.0
,8.0
,0.0
,5.0
,1335.0
,1.0
,0.0
,3.0
,0.0
,2.0
,0.0
,4.0
,5.0
,3.0
,0.0
,8.0
,1.0
,0.0
,4.0
,15.0
,5.0
,1.0
,0.0
,0.0
,4.0
,7.0
,1.0
,7.0
,2.0
,18.0
,7.0
,2.0
,4.0
,5.0
,1.0
,4.0
,0.0
,5.0
,0.0
,4.0
,0.0
,0.0
,2.0
,3.0
,1.0
,39.0
,0.0
,6.0
,2.0
,3.0
,4.0
,1.0
,5.0
,1.0
,2.0
,4.0
,5.0
,2.0
,3.0
,4.0
,2.0
,1.0
,1.0
,3.0
,1.0
,1.0
,2.0
,5.0
,3.0
,8.0
,5.0
,3.0
,4.0
,0.0
,2.0
,1.0
,0.0
,1.0
,6.0
,219.0
,0.0
,2.0
,1.0
,0.0
,2.0
,2.0
,0.0
,4.0
,2.0
,0.0
,3.0
,2.0
,1.0
,3.0
,0.0
,4.0
,1.0
,1.0
,799.0
,3.0
,0.0
,0.0
,2.0
,0.0
,0.0
,0.0
,0.0
,1.0
,3.0
,2.0
,0.0
,621.0
,0.0
,3.0
,0.0
,5.0
,0.0
,3.0
,0.0
,1.0
,0.0
,0.0
,2.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,4.0
,0.0
,1.0
,0.0
,0.0
,0.0
,1.0
,0.0
,0.0
,0.0
,1.0
,2.0
,0.0
,1.0
,0.0
,0.0
,0.0
,0.0
,0.0
,5.0
,1.0
,1.0
,1.0
,0.0
,1.0
,0.0
,0.0
,2.0
,1.0
,1.0
,0.0
,329.0
,0.0
,3.0
,2.0
,1.0
,1.0
,0.0
,1.0
,1.0
,0.0
,1.0
,11.0
,0.0
,1.0
,0.0
,275.0
,185.0
,0.0
,0.0
,0.0
,0.0
,290.0
,238.0
,1.0
,1.0
,1.0
,236.0
,0.0
,1.0
,2.0
,4.0
,2.0
,3.0
,0.0
,0.0
,0.0
,0.0
,1.0
