"","text"
"33"," lambat gk tau malam banget map driver deket gk yg nerima coba berkali tetep gk pilih yg sumpah kesal banget kalo alesan pastikan internet matamu internet w g kuota makin aneh nih gojek menyesal w pakek ni apk gk guna w ganti grab nyatanya w dapet drivernya tuh emang pelayanna apk nya makin makin jelek "
"34","upgrade go pay gagal foto pake fitur hp yg canggih foto tlg tim it nya d sesuaikan hp macam merk dberikan informasi upload dri foto yg biar "
"35"," yg ungkapkan real lapangan pengguna aplikasi jd jgn menaikkan tarif perjalanan menjauhkan kilometer perjalanan nya tp tolong perbaiki kinerja aplikasi driver nya aplikasi penumpang nya jgn alasan gangguan internet lach lach lach tolong dong perbaiki segala aspek yg ad pengguna mudah penggunaannya yg gadang dr karya anak bangsa tp nyata nya nol "
"36","biaya layanan jasa aplikasinya mencekik order tambah rb yg diorder memuaskan tolonglah dikurangi biaya jasanya dikali jutaan pengguna aplikasi untung brpa banyakk cobak"
"37","kenapa dibuka disuruh menunggu kode via sms kode didapat malah dibhilang memasukkan kode daftar ulang dibhilang no hp n email terdaftar tolong diperbaiki kinerjanya gojek "
"38","fitur gojek aneh komunikasi dg cs pesan yg dikirim otomatis misal kendala order gak sengaja malah ngak dibatalin ngak peyelesaian diskusi lagian kenpa ngak menu yg membatalkan orderan klo ngak sengaja dipencet "
"39","tolong bikin permudah akuratnya titik jemput akurat titik jemput nya pesan go ride pas pesan go food akurat titik antarnya "
"40"," kecewa kesal karna harga ongkir mahal tolong diturunkan lah harganya akal malas liat harga ongkir ga akal promo banget memberi ongkir akal lah"
"41","tolong min kenapa bagus up apapun memakai pin pin dilayar kenapa mengganti profil jaringan bagus kendala tp kenapa ulang berkali tp perubahan tolong dong gopay nya"
"42","pembayaran gopay sih oke gitu kelipatan bagus up kalo bagus up alfamart admin kukira mempermudah malah njelimet fleksibel baiknya perbaiki kedepannya "
"43","kapan fitur tarik tunai rekening normal kemarin tarik saldo eh fiturnya hilang fitur pas gunakan fitur malah hilang "
"44","kode bayar bhilang internet mati sinyal bagus kuota gara gara terpaksa bayar pake tunai untung bawa uang cash coba klo gak yg tolong diperbaiki "
"45","apaan sih makin kesini makin menyebalkan aplikasi bagus up pake nyalahin akun bermasalah mesen ga transfer upgrd payplus udah up tetep ga ga iklan iklan beredar "
"46","tolong bug maps diperbaiki karna mengganggu pelanggan pilih alamat tiba berubah alamat sendirinya driver lo tolong diperbaiki bug nya terimakasih"
"47","kok ga transfer bank tolong solusinya soalnya sinyal udh bagus udh diperbarui tpi ttp transfer bank tulisannya perbaikan sistem bank nya nih tolong buat yg pengiriman uang bank gitu diperbaiki dong "
"48","puas pelayanan drivernya fiturnya terupgrade aplikasinya lancar cepat tarif agak bikin sedih naik drastis semoga kenyamanan keamanan driver customer tim gojek terimakasih banyakkk pelayanannyaaa"
"49","kalo pesan gocar bandara dipaksa cancel bokingan karyawan pakai yg murah alasan mobilnya habis malam alasannya disuruh boking tarif mahal mobilnya gk upgrade kek odong odong ramah "
"50","malas bgt mahal makanan sm ongkir mahal ongkir levelku udh juragan tp promo ongkir mlh jarang yg malah dinaekin nya udah hrga makananx up smpe rb ongkir mahal masi ketambahan biaya jasa bla bla bla aplikasi cap ðÿ ž sorry uninstal "
"51","tambahkan gotix magelang login menulis no hp notifikasiikasi sepertinya akun terdaftar lengkapi data no hp notifikasi sepertinya n yaudah ngisi no hp klil notifikasi mencoba menunggu menit tolong perbaiki login aplikasi nya"
