"","text"
"153"," bank gopay bukannya malah mencekik transfer diluar gopay pajak bagus up uang dikenakan pajak transfer dana "
"154","astaga daftar aja persulit verifikasi linknya gk pas udah klik link pesan malah error disuruh menunggu menit diperbaiki lah kecewa "
"155","tolong biaya nya normal aja pake biaya layanan tambah biaya nya ongkir jarak deket aja mahal banget udah gila nih apk gojek "
"156","tolonglah gojek upgrade gopay plus pakai kartu pelajar biar mudah pelajar e ktpðÿ  supaya mudah transfer keluarga pembayaran transportasi ðÿ "
"157","kocak aplikasinya pesan ulang notifikasi disuruh hapus isi keranjang udah dihapus ga hilang hilang isi keranjang kek pesan menu meng sedih "
"158","kalo mesan gocar lokasinya memenunggu menit an efektif go car terdekat malah tolong dong diperbaiki sistemnya "
"159","kenapa akun tiba kirim gopay sesama aplikasi gojek nya aman aja dinonkatifkan fitur alasan aktifitas wajar kan gak akal transaksi harusnya kan gak merugikan gojek kenapa malah dikira aktransferitas mencurigakan luucu ni emang aplikasi "
"160","susah banget dapet driver deket sampe menunggu sejam ga nyangkut nyangkut deket eh cancel drivernya deket ga ngambil tujuan deket niat ga hadeh"
"161","kecewa sistem gofood plus rupiah bakal dapet diskon makanan cuma diskon gratis ongkir bedanya gofood plus k rupiah"
"162","aplikasi bagus cuma komunikasi restonya kendala driver kunjung tancap gas resto antrian driver kendala chat resto biar dibatalin pakai menunggu â diganti driver buat jemput makanannya makasihðÿ "
"163","maaf banget nih gojek tolong banget kasih tau driver kalo bawa motor tuh liat kanan kiri liat situasi bawa motor pengalaman ketabrak pas naik gojek tuh bikin trauma naik motor takut keulang kalo wilayah jakarta hatiâ banget truk kontainer maaf terimakasih "
"164","balikin fitur bida voc dong ga guna banget sumpah biaya layanan makin tp voc kadang ga kepake pdhal min terpenuhi tolong perbaikin layanan reguler hematnya"
"165","dear gojek akun gojek device berbeda syarat transfer beralih gopay plus gopay plus foto ektp ektp nomor satunyaaaa gak tuh setting supaya ekpt buat akunnn bingung jadinya transfer pake device satunya gak paspor "
"166","makin sini aplikasi ni makin ga jaringan lancar malah koneksi error loding biaya operasionalnya naikan kualitasnya ga perhatikan buat costumernya"
"167"," habis orderan apl error uninstall m install rempong tambah go pay ga ðÿ ðÿ ðÿ ðÿ "
"168","tambah buruk tambah mahal untung order malah menaikan biaya aplikasi tambah beban diluar ongkos food makan ditempat murah mobilitas ud ga efektif tarifnya"
"169"," bagus up roblox nah rp otomatis gopay berkurang dong nah aplikasi roblox dihapus nah pesan bhilang gojek gini transaksi gagal nah hirau kan dong soal nya dah dibayar yakan nah bagus up gopay nah tibaâ sisa kaget dong ter nyata aplikasi roblox transaksi berhasil dah gak game nya aneh hemat uang tolong nih bug "
"170","tolong benerin rek bagus up kontak temen malah tulisannya update udah update malah gada update play store nya"
"171","gopay mengesalkan transaksi kendala transaksi memenunggu jangka merugikan "
"172","aplikasi karya anak bangsa bagus walau boros kantong tp disaat dibutuhkan "
"173","pembayaran bagus up e money payah bagus up e money tp tetep ga berhasil notifikasiikasi pembayaran sukses saldo gopay berkurang saldo e money bertambah "
"174"," x pesan via go shop goshop nya ngak uang kontan dibatalin pesan lg yg satunya lg yg batalin kenapa aplikasi go shop disini yg ngak berfungsi alasan pencet kesalahan nya nya soalnya pesan bayarnya lo kenapa kesalterpaksa la jemput "
"175","ga nih gopay bagus up rb alfamart isi kuota mytelkomsel malah pembayaran ga berhasil mulu ulang ulang ga pembayaran batalkan gopay udh ganti pin berhasil pas ulang menu ganti pin malah ga ni apk"
"176"," lambat banget aplikasi nya muter ganti menu pembayaran pas gopay nya habis harusnya ganti tunai tambah kok tambah g praktis"
"177","akun gojek bertahun juragan anak sultan fitur gopay pinjam ga notifikasiikasi sip kamu terdaftar terdaftar doang kecewa pake aplikasi segalanya murah "
"178"," update bug pembayaran jaringan jaringan normal barcode pembayaran eror transfer seri g bengong ampe kirim x ngga notifikasi headee"
"179","tolong permudah pencarian riwayat transaksi gopay prank selesai transaksi bukti transaksi diproses cari article menu cari sub menu ga eksplore gimana sih "
"180","update bug min go food memesan minuman promo pesan minuman pasang promo tambah pesanan minumanya lgi disana promonya tetap terpasang gak promo harga minimal tertentu "
"181","gomart sedot saldo pesanan kosong tp tetap bayar tp saldo hilang etalase toko stok aplikasi tp saldo menghilang ga lapor kok silahkan cek komplain dr aplikasi cm dijwb tim closed jdi sy ga pilihan cm kasih rate hapus aplikasi masukin media konsumen sih "
"182"," daerah ku banjarnegara jawa pesan makanan alasan lokasi restoran aplikasi grab makanan daerah sini poin gunanya beli pulsa aja ngga hadeh pelit amat memberi cashback ngga gunakan"
"183","kok gk ngehubungin gopay dgn tiktok shop menghubungkan kan masukin no telp trus buat pin nah kode otp kok gk sms klik kirim ulang malah your pin is already set up maksudnya gimana ngatasinnya gk menghubungkan ni"
"184"," aplikasi banget pengen beli sesuatu suruh jaga toko bapakku pengen ngemil ni aplikasi solusinya walaupun ga beli aksesoris elektronik earphone sih jos dah nih aplikasi tolong tambahin fitur beli aksesoris elektronik donk min "
"185"," feature pilihan gofood cepat pilih yg hemat sampainya banget dapet cuan nggak usah begini naikin aja harganya menunggu kaya begini "
"186","ko ga transfer sih skrg yg aplikasi gunakan udh update versi terbaru tetep ga deposit udh minta bantuan operator gopay malah g jawaban gimana aplikasi saldo transfer malah ga parah ni aplikasi gopay"
"187"," batalkan pesanan batalkan minuman gelas makanannya tetap dipesan tp tdk difasilitasi fleksibel menunggu dpt driver iya engga mesti kelaparan nggu dpt driver engga pesanan malah ga dibatalkan statusnya menggantung banget engga banget aplikasi "
"188","hadeh kenapa aplikasinyaaa order goride error detail order gk diakses gopay udah kepotong sejam diakses driver chat telepon gk respon cancel orderan server sibuk gimana gilak sejam kebuang buat ngurusin aplikasi "
"189"," tiba aplikasinya dibuka fitur loading goride gocar gofood dsb yg klik clear cache uninstall install lg malah login loading mohon diperbaiki terimakasih"
"190","halo gojek komplain pemasangan promo pakai ny kadang ga refresh trus kadang opsi milih kek nge freeze ga ditekan ga check out gofud nya trus kadang aplikasi nya loading tolong semoga kedepannya plisss makasiiih tetep with bangtan wkwk"
"191"," titik lokasi kadang akurat lengkap coba kalo app nya terhubung google map lbh memudahkan krn google map update trus"
"192"," kesini aplikasi gojek kok buruk biaya layananbiaya aplikasi yg naikin makin jelek klo order gomart pilih tokonya gak pilihmau beli rokok gak mending pindah pake aplikasi lainya yg makin berbenah bagus "
"193","aplikasi oke komunikasi dgn driver resto harga ongkos kirim naik skrg ditambah biaya yg harganya dgn ongkir pesan makanan harga rb terasa mubazir krn biaya antar biaya dgn harga makannya semoga kedepannya lg "
"194","tolong tambahin fitur layanan gofood donk biar pesan makanan skligus beda soalnya kadang rumit order beda restoran kadang yg berpartner malah lokasi nya hehe "
"195"," gojek kayaknya lgi bermasalah pemilihan driver memenunggu driver map akurat driver nyata driver tolong diperbaiki "
"196"," aplikasi prioritas sll dikecewakan probolinggo urgent sll eror aplikasi tdk tersedia aja driver sll nda cepat potongan harganya gojek nga tau gimana perhitungannya kadang kadang nga scan qris suka aja bermasalah makasih gojek sukses "
"197"," kenapa sih kalo apknya errorampe terusudah update sampe instal ulang tetep aja gabisajadi tolong perbaiki dehjadi menyesal udah ngisi gopay gak kepake"
"198","gak ne aplikasi order mulu menunggu menit keatas udah d menungguin drivernya diem aja giliran cancel suspen udah bikin akun penyebab yg d blokir maunya gimana aplikasi tolong pengertian nya "
"199","nga log in log out aplikasi perbarui malah disuruh log in ulang sampeâ udah nga diakun jaringan bagus paket internet kode otp log in "
"200","dear gojek banget cancel pembayaran cash gopay pakai voucher promo udah menunggu bikin telat kerjaan pengambilan goride gocar titik driver nya suka titik penjemputan disekitar titik penjemputan driver yg thank u semoga "
"201"," ku apk nya bagus banget kar na yg gofood gocar dll ramah banget mempermudah membeli pergii kalo yg loading nya sih kuota "
"202"," driver susah minta ampun sekalinya dapet jarak nya banget titik pengambilan beda kabupaten driver pas area ngumpul nya permudah sistem perlambat ngotak dikit napa"
"203","udah pengajuan pengembalian dana udah gak telepon gak email gak menyebalkan aplikasi tolong pelayanan harap tingkatkan percuma iklan bagus kalo pelayanan terima kasih "
"204"," level menipis voucher yg berikan akun layanan gofood hemat berulang laporin penjelasan yg konkret gak banget aplikasi nya"
"205"," bug membutuhkan nya gojek lag jaringan bagus bsering bug n lag bug hilangnya saldo gopay seperyi mengisi gopay besoknya cek gopay tolong fix eror memesan mengakibatkan terlambat"
"206","mohon dong sy upgrade gopay plus gak tolong sistem nya bagusin susah amat upgrade gopay plus udah coba gagal gak verifikasi e ktp kamu mohon pastiin data e ktp kamu data e ktp sy ad kesalahan foto tolong dong nih gopay bagusin plis upgrade gopay plus rumit gk bisaâ "
"207","awalnya aplikasinya bagus tpi setelh upgrade k gopay plus aduh verifikasinya terlallu lambat pelayanannya menunggu x malah x jm msh dlm sedangkn buat transfer k sesama pengguna goopay jgn persulit donk d acc balikin normal serperti soalnya transfer udh telat harusnya transfer kmren aduh klo gini caranya kapok"
"208","tolong d perbaiki aplikasi gofood pesanan ubah setidaknya pilihan metofe pembayaran karna kadang suka pilih metode pembaran udh terpesan tp cancel pas susah klo pas lg g megang tunai tp terklik tunai batalkan mohon d buat pilihan ubah pembayaran pesanan siapkan terimakasih"
"209","aplikasi yg trlalu fitur enak yg mudah praktis skrng sya customer memberi bintang driver aja susah rumit"
"210","sebetulnya fiturnya ga tarik tunai transaksi terkirim x status transaksi memenunggu jaringan internet bagus tolong semoga diperbaiki biar bagus kedepannya terima kasih"
"211"," pembayaran transaksi kasih pin sidik jari dong ui nya ga ga sengaja kepencet tiba tiba saldo berkurang rb buat voucher pack purchase ga banget aplikasi "
"212","hi admin gojek kenapa akhirâ aplikasi musti install ulang memakai aplikasinya mohon diperhatikan peningkatan pelayanan nya udah memakai layanan gojek kok kinerja aplikasi buruk "
"213","mohon gojek pilih pilih soal driver nya soalnya driver dianterin udah diatur nya aplikasi drivernya suka sinis makasih"
"214","kenapa sorong layanan buka usaha go food disan ditolak krn tdk tersedia layanan apaupn gojekðÿ ðÿ â â ï  dpt notifikasi tdk aktif lg gajeknya gmn aktif sy jawa aplikasinya hilang pdhl sy dengar aplikasi sdh negeri tp negeri sj blm terjangkau tolonglah pak tdk negeri negeri sj blm terjangkau semuanya"
"215","aplikasi gk praktis simpan alamat dipilih genting bagus up bayar gopay kecewa"
"216"," pesan go food puluhan mengecewakan menit aja tingkatkan aplikasi gojek supaya makin berkembang belum coba bagus up indomaret gocar gobike belum coba terima kasih gojek ðÿ ðÿ "
"217","aplikasi gojek gak kelewat mahal pesan gofood segen order harganya udah mark up ongkir mahal dr ditambah tarif jasa layanan buat pajangan aja udah menu aplikasi hp bakal gue hapus aplikasi gak guna "
"218"," ga gunakan meskipun uninstal login sulit berulang tolong bantu login tetap habis update aplikasi stak sdh uninstal login susah kecewa gojek tolong bantu login aja menarik dana gopay thanks"
"219"," kenapa gojek aksespas dibuka malah loading mulu uninstall instal ulangtapi pas log in malah loading pake aplikasinya saldo gopaynya lumayan lagimau transfer "
"220","makin kesini makin aneh gak akun dipake tiba diskon resto gak diskon ongkir chat telepon cs sampe tekor pulsa jawabannya cuman akun gak solusi buat cs wooyy abis in pulsa "
"221"," udah bagus promo nya akal murah muraheh malah dapet vocer diskon membagong kan ku kira bug makanya ku lihat playstore update ku update tulisanya berubah waw vocer diskon familyfrenly diskon max rp murah hatitapi minimal pembeliannya gak rp kocak saran aja sih ga niat kasih vocer mending ga usah kasih sekalian aja "
"222"," disaat malas bergerak aplikasi skrang mahal biayanya mahal tp pendapatan driver jg naik gak tp aplikasi sdh mahal tp driver pendapatan aja malah potongan "
"223","aneh gojek khususnya gofood tiap gofood makanan udah klik pesan gitu dipantau pesanan harga berubah gak taunya ongkir nya berubah rb rb kok gitu aneh kadang ongkir gak akal mahal ongkir harga makanan jarak gak kenapa klo pesan gofood gk pake promo ongkir rb gitu promo dipake ongkir rb jatuh harganya aja niat gk sih kasih promo "
"224","saran perbaikan aplikasi depannya segi jaringan tolong diperbaiki supaya pengguna gojek lancar bertransaksi apapun aplikasi semoga kedepannya gojek berbenah apapunsekian "
"225","kecewa banget gojek siang pesan goride gada nyangkut buru infonya pesanan ga yg motor mobil taksi layanannya perbaiki kalo gitu tiap telat "
"226","kronologi buka akun april bagusup gopay berniat membeli menu buka puasa memesan menu gojek pesan kesalahan diakunmu laporan bhilang banding ditolak memesan transaksi riwayat transaksi tanyakan penjelasan penyelesaian kecewa gopay bersisa dita"
"227","kecewa aplikasi gojek makin kesini makin kekurangannya penarikan tunai lancar malah nonaktifkan sebulan tolong perbaiki customer nyaman gojek"
"228","tolong hapus biaya layanan kan bayar ongkir segala macam pakai aplikasi makan kuota kenapa biaya layanan walau cuma seribu perak seharian pakai berkali jatuhnya makanan yg dibeli tambah mahal "
"229","tolong diperbaiki pelayanan nya kehilangan gara gara pesan goride lokasi alamat coba tetap buru buru bikin kecewa "
"230","dikarenakan setuju kebijakan goto profil yg mewajibkan identitas platransferorm goto pertukaran data costumer gojek aplikasi yg dibawah naungan goto wajib sepertujuan customer menutup akun terima kasih "
"231","mudahan ad yg baca selaku driver yg aplikasi gojek custmer tolong pengguna aplikasi gojek pelajari aplikasinya pesan layanan gojek karna titik jemput ordernya double orderan pesan hubungi sistem gojek mohon beri kemudahan pengguna mempelajari aplikasi merugikan driver "
"232","aplikasi kenapa transaksi koneksi jaringan kuota signal penuh "
"233","awas hati aplikasi petipuan transfer bank nyangkut saldo batalkan kan aneh alasannya memenunggu bank putarkan uang nya biar profit hati hati aplikasi "
"234","bingung aplikasi go jek smlm beli kartu ubah nomor telepon malah nomormu terdaftar nomor gunakan digojek minta bantuan disuruh screenshot my profile uda dikirim x minta respon customer service aplikasi respon cepat "
"235","pesan makanan oke lah tekankan transfer aplikasi uang ðÿ  aplikasi delay bahaya banget sarankan dana aja bri link kalo panding reffund otomatis udah enek menunggu transfer komplain gak sistem chat nya bot hati hati pengalaman pribadi "
"236","engga tau gojek ni sistemnya gimana yg skrg jelek banget ga kaya naik promo diskon udah ga driverpun susah orderan mending aplikasi sebelah ajadeh harusnya goto memperbaiki kelamaan bangkrut ni perusahaan karna ga yg pakai aplikasinya ðÿ "
"237","aplikasi sdh lumayan bagus ditingkatkan lg fitur fitur didalamnya supaya memudahkan pengguna pembayaran tertentu lbh dipermudah"
"238","parah aplikasi redmi x udh perbaruiko pas tampilan paylater malah putih doang tampilannya sinyal bagus gimana bayar tagihan bentar udh denda nya lumayan stiap hadeehhhhhh "
"239","harusnya kasih bintang kenapa ku ditingkatkan soal rekrut sepeda motornya dimana dapet orderan jarak maulun motornya ga banget yaallah kek ga bikin nyaman wajib banget soalnya kan penumpang kenyamanan segi keamanan cuman tergantung kelayakan motornya gimana kalo motornya udah ga kaca sepion motor ngangkut jerami aja masii dipake ngojekðÿ "
"240"," kenapa si malah makin kesini malah makin kesana skrng go jek bnyk bug nya aja pemulihan akun malah bug menunggu tgl sampe skrng tgl beres udh berapa tuh dikira ganti dara login hp blm ganti data login hp "
"241","sebenernya bagus sih cuma tadi pesan makanan ngga alasannya gofood ramai ramainya oke lah buat sampe sejam an loh ngga kek gini"
"242","aplikasi rumit membingungkan masak bagus up nomor tadinya udah upgrade pake nomor nomor lha trs knp nomor akunnya udab diupgrade membingungkan pelanggan"
"243","bug nih bayar pakai gopay alfamart indomaret mwngharuskan pakai barcode aplikasi masukin pin nya barcode timer barcode nya cuma detik doang jadinya hangus kode nya du uninstal instal tetep aja ga bayar pake barcode scan barcode misl bayar mcd "
"244"," kesini susah aja order kadang ditolak truss biaya dah bertambah aja biaya aplikasi biaya bungkus biaya layanan trus vocher nya pakai pay later disuruh ngutang yak trus harga makanan nya jauhh naiknya aplikasi mending beli deh pakai gofood rumit biaya tambah vocher pakai"
"245","aplikasi nya bagus aplikasi sebelah error nggak menyediakan bayar tunai aplikasi bayar online nya seringan error malas uninstall soalnya biar nggak keblablasan boros instal kok thankyouu"
"246","tolong aplikasi nya banget kalo sekira nya udh gak berfungsi hapus indonesia aja percuma kalo gak saldo gopay gw disitu "
"247"," berlangganan go food setiao heri pesan go food bareng temen tementapi kenapa malah promo dihilangkan promo sekua resto aplikasi gofood tolong lahsaya member go club level anak sultan makin pesan go food kenapa promo dihilangkan "
"248","gosen naik dihari naik xlipat order promo ga naik kalo order alesan driver kalo dinaikan driver kan aneh driver tembak gitu "
"249","gak kaya aplikator sebelah kok cari keyword makanan kucing cuma seharusnya keyword pelanggan cari rada susah diinginkan"
"250"," mitra yg over order gue menunggu pas cancel malah app auto mencari driver gimana sih rumit banget cancel ngejelasin malah ketemu botnya doang case cepat tutup problem teratasi gue khawatir malah drivernya yg sp dianggep gak becus restorannya yg rada rada gojek jelek banget skr"
"251","balikin sistem yg sistem gagal order gofood oke prioritaskan driver disekitar resto driver digagalkan alihkanke driver yg agak dikit tiap ganti sistem tp makin rumit aja "
"252","tolong perbarui petanya kalo jalannya perbaikan carikan driver yg jlnnya buntu drivernya cancel cari yg biar gk jln yg malah akun yg blokir tolong lah pembaruannya cek lagii klo gini yg rugi siapa customer "
"253"," meganti nomor gopay dikarenakan nomor aktif email terivikasi bikin penganduan email jawabnya cuma email terivikasi mohon pelayanan secepatnya menunggu nya nggk "
"254"," promo ga walaupun persyaratan terpenuhi seolah olah dijebak untu memakai promo tertulis promo pakai gopay paylater paylater aja x ditolak gopay isi ulang "
"255"," kesalahan sistem gojek aplikasi mendeteksi nomor hp mengakibatkan bagus up gopay akun nomornya mirip komplain berkali solusi malah diarahkan login nomor mirip nomor mohon solusinya gojek karna kesulitan bagus up fyi nomor xxx terdeteksi sistem xxx"
"256"," ketidakadilan bandara soetta diantrian didahulukan antrian yg menuju jakarta alasan nopol ganjil genap komplain tanggapan terpaksa sy kasih bintang "
"257","aplikasi tokai update aplikasi nya turun performa nya gak pesan gojek alamat bener drag apke map tetep gk otw uninstal"
"258","kecewa aplikasi ga dipake muter trs loading ga habis sdh updatettp uninstalinstal ulang ttp mohon diperbaiki "
"259"," mohon ditambah fitur chat resto warung makan go food menanyakan perihal menu makanan yg mohon diberikan label halal non halal mohon mitra go food diberikan fitur mencantumkan bahan bumbu mohon ditampilkan kendaraan pesanan gocar goride mohon ditambah fitur filter pencarian gofood operasional "
"260","aplikasi yg jelek cancel driver berkali ujung nya ga driver pake aplikasi sebelah "
"261","tolong sayasaya kan pake go ridetolong kasih diskon dongkan gua pake go ridedikasih dong diskon berapa ributerutama pake aplikasinyajadi pake tuh kayak kasih promo gitu lahpulang sekolah gua banget gunain go rideini saran terimakasih ðÿ ðÿ "
"262","makin sini gojek kategorikan menguras kantong pengguna karenakan biaya ongkir pesannnya mahal walaupun potong diskon ditambah biaya layanan biaya pengemasan memesan aja biaya biayanya melebihi harga beli jd katakan lipat harga belinya gofood gomart ojek motor mobilnya bhilang lah harganya sgtu emang standar "
"263","terimakasih mgkn ketepatan armada ditingkatkan kadang aplikasi menit driver menit for all good "
"264","tolong benerin fitu gosend multi alamat biar ga selisih paham driver gojek coba deh pengembang pengguna aplikasi pembuat pengembang pemakai biar tau kelemahan tuh aplikasi"
"265"," nanya nih niat ga si kasi voucher dipake ko malah g order goride ga order pake aplikasi hejo hemat irit biaya lhoðÿ "
"266","tolong sistem perbaiki adminmasak iya ramadhan tetap sistem anyeptolong beri layanan order adil sistem perbaiki lagiuntuk sistem bntk bugnyamã af sistem kasih bintang "
"267","menunya sulit komunikasi penjual pesanan kacau contoh pesan kecap manis tetap pakai kecap manis driver bantu cek penilaian driver"
"268"," kesini layanannya jelek pesan gofood udah pake promo bayar pake gopay eh tiba pesanannya berubah promo dipake jadinya bayar mahal saldo gopay ditarik gitu aja udah lapor gaada penyelesaian gojek trus udah bagus up saldonya gak udah lapor tp responnya aja "
"269","kenapa apk gojek gak aja isi saldo pas cek aplikasinya gak koading nya udah instal ulang pas verivikasi no hp loading "
"270"," akun gopay diblokir cuma habis transaksis dilanjutkan cuma balas laporan ditutup tolong kejelasan blokir permanen seandainya kapan kalo permanen uninstall aja deh percuma saldo ga kaya dicuri ja saldonya"
"271","gopaylater nonaktifkan sepihak batasan denda tgl tiap bulannya pembayaran gopaylaternya bekukan tolong buat ketentuan yg mengecewakan"
"272","aplikasi bermasalah error coba uninstall install ulang login tetap bermasalah login buffering "
"273"," kecewa menjengkelkan gojek banget pesan gocar posisinya berubah ubah aplikasi awalnya menit dimenunggu tau menit lah lah itulah bgt driver yg posisinha dsitu titik driver manfaatnya bintang sampe sultan percuma lu gojek"
"274","percuma promo utk motor mobil tdk bs kepake error quadrat pake tdk pake promonya kecewa dgn pelayanannya ðÿ ƒðÿ ƒðÿ ƒ"
"275","kasih bintang ajadulu vocher gak adatarifnya mahallebih pindah apk sebelah aja deh pengembangan kedepanya kok malah burukapa dimusim hujan gini cari driver susah banget gak driver "
"276"," ojol tinggalku sistem bayar uang digitalnya nomor hp gopayplus upgradenya foto ektp disaat kamera hpku rusak ktpku dibawa mandor proyek makin rumittt aja "
"277","fitur go food notifikasiikasi aktikan lokasi diaktifkan malah halaman dgn notifikasiikasi aktifkan lokasi sdh diupdate clear cache tetap sdgkan difitur lokasi terdeteksi "
"278","biaya aplikasi mahal era ekonomi yg sulit selisih harga mahal jarak pengantaran yg relatif tambah nya estimasi order driver pengantaran yg "
"279"," performa menurun segi kualitas aplikasi lambat lokasi amat sulit jakarta pusat jkt transaksi loading "
"280"," buka aplikasi loading teroooss kukira apknya error gofood jg susah stuck layar putih buka apk lancar lancar aja "
"281","saldo gopaylater k beli makan k gak saldo gopaylater coba astaga pengen beli makan online biar gak rumit malah dirumitin abis gue buat ngecek ngecek isi aplikasi ama gopaylater tiap transaksi disuruh bayar biaya pengembangan aplikasi aplikasinya kayak gini astaga"
"282","kenapa coba ganti pin berkali dicoba pin berhasil kamu berulang memasukkan pin silahkan cobalagi update"
"283","cuma cerita pesan gofood dg pickup gerimis mendung order neh cabang kirana persis outlet pas pembayaran tibaâ lag koneksi pembayaran terproses malah diarahkan cabang kirana duh muterâ jadinya hujan korban pickup pakai poin ðÿ ðÿ ðÿ tau ga struk yg pengambilan cabang kirana jadinya order jd bayar kocak kan "
"284","harga gofood udah nggak akal biaya layanan naik biaya ongkos kirim naik klu total sm makanan harga x lipat harga makanannya kesini nggak pake gofood beli pedagangnya "
"285","dear gojek mohon perbaiki layanan gojek point instant stasiun pasar turi surabaya cust diantar urutan didahului org antrian memenunggu menit terkesan pilih pilih tarif terlebih dahulu urutan regular kaki sejauh km stasiun"
"286"," bagus kok gojek cuma gatau aja apk gojek ku buat order goride gocar gofood masang alamat buffering aja sinyal ku udah bagus udah coba hapus pasang apknya hasilnya tetap tolong gojek diperbaiki terima kasih"
"287","halo admin gojek mengapa tarik tunai aplikasi gojek tarik tunai pengguna gopay plus kok tarik tunai tolong perbaiki secepatnya terimakasih"
"288","min tolong lah kalo ga mencari maps minimal teks offline udah coba coba mencari alamat ga lokasi temukan"
"289","tolong admin training supir goride nya kekecewaan supir hati hati macet nyalip pake perhitungan kaki kebentur tiang telepon kenalpot motor supir ngeyel yg malah pergi tiba tiba bicara"
"290","tolong dibantu n respon cepat tdi transfer saldo go pay tiba minta upgrade indikasi perbedaan dgn ktp n akun gojek g bermasalah tpi tiba update jdi go pay plus "
"291"," hemat pake promo malah diarahanin cuma pasang voucher pack purchase asli ga niat pasang beginian ngikutin arahan bukannya hemat malah kepotong rb cuma buat pasang paket begituan bukannya hemat malah nombok pasang paket ga chat customer batalkan transaksi ngikutin arahan aplikasi ngerasa kejebak ga kepake tiap dikarenakan penjelasan nya go food plus trauma saldo go pay raib gara arahan ðÿ ðÿ ª"
"292","mohon pengantaran double ordernya dihilangkan merugikan customer pengantaran pesanan makin makin troubelnya bagus nih aplikasi"
"293","tolong diperbaiki sistemnya ketepatan area titik jemput tujuan tgl maret sy pesan goride gocar wilayah kok pindah negri pdhal sy coba gofood bs restart indonesia kok gocar mahal sekaliiii walaupun hujan rame masak tembalang pudakpayung rb cuman goride kalaupun jalanan rame hujan naiknya gag lipat gitu murah layanan tolong dikaji kebijakannya terimakasih"
"294","sejauh bagushanya tolong tambhkan fitur hapus riwayat pesanan gojek dll menuh in memori ðÿ tlg tambhkan fitur ganti alamat lokasi pesan go food ketik alamat dri apk nya ga cancel pesanan rumit sih sbnrnya ga bsa cancel pesanan minimal ganti alamat wlpun pesanan gbsa d cancel ðÿ yg paham mksd "
"295","gojek mengapa error dikarenakan cek internet sinyal lancar aplikasi lancar mohon diperbaiki bug "
"296"," pengguna go food gatau kenapa malam tadi akun promo restoran bener ga diskon makanan yg restoran kecewa"
"297"," gimana sih map nya mo pesan ditutup gak yg ditutup benerin dong map nya tadi berangkat lancar kok udah bbrp gini "
"298","kenapa fitur tarik tunai kartu hilangkan membatu pulihkan makin upgrade malah fitur berguna hilangkan hadeh"
"299","go jek promonya kenapa kenapa coba pakai promo gocar hadehuntuk masukan depannya promo coba berlakunya dilamain sedikitmau event lebaran gak berkontribusi ngadain promo gitu kekbelajar aplikasi grab minyang ngadain promo berlakunya semoga masukan kritikan dijadikan evaluasi masukan perusahaan sekian terimakasih "
"300"," membeli makanan via go food via aplikasi yg aplikasi gojek riwayat pembelian go food tsb mengakibatkan turun lah peringkat aplikasi go jek lbh jt per bln belanja go food sdng pertimbangkan lbh hapus go jek sekalian beralih sebelah masalahnya yg tangkap sini aplikasi go jek pakai findaya pakai atom"
"301","awas pembobolan gopay taransaksi yg gak pemberitahuan transaksi ak gak tansaksi hati hati klo gak keperluan mending aplikasi biar aman sing out "
"302"," boleh saran tolonglah biaya ditiadakan menarik daya beli customer susahnya menerapkan untung lancar daripada untung banget semoga bahan pertimbangan menguntungkan sesama driver perusahaan terima kasih"
"303","kenapa aplikasi go jek skrg nggk nggk pemesanan apapun bagus up saldo gopay nya aplikasi sy coba instal ulang malah nggk msuk akun sya tolong tanggapannya thnks"
"304","udah ganti pinterus coba malah pin nya salahterus coba berkali tetap ga bisaudah ganti pin nya puluhan ga tolong perbaiki "
"305","respon cepat realisasi penggantian uang gak kepastian uang yg hilang desember minta endtask entask uang gak barangkali yg beneran dapet nya stengah matikeringat udah kering gak dibalikin uang moga balik"
"306","parah bug nya neduh hujan bawa anak balita mobil pedahal aplikasi driver yg standby ga dapet x coba ga dapet buat gocar kecewa "
"307","tolong min kenapa abis bagus up gopay voucher nye hangus bagus up giliran pas voucher malah nentuin titik jemput alesan nya area tutup klo voucher nya lepas makin gajelas"
"308","tolong dong nomor tlf disamarkankasian kadang drivernya ga tau alamat hubungi customer susahdan rumit driver hubungi penerima chat pengirim duluterkadang pengirim pegang hp ankadang org jg sibuk makin bukannya makin memudahkanmalah makin merumitkan ni aplikasi"
"309","tolong aplikasi mengembalikan go mart memilih toko soal toko yng lengkap mohon pertimbangan aplikasi go mart "
"310","makin parahpakai mode hemat gak dapet driperkasih sangsi tegas aja orderan mode hemat payah aplikasi inigiliran pesan makanan pas hujanga driver ngambil orderantolol"
"311","kenapa skrg order titik penjemputannya tujuannya gang susah banget ngepasin alamatnya buru jdi susah mencari alamat yg tepat gak jkarta tinggalnya komplek mewah jek"
"312"," membayar gopay loading instal ulang login ga loading saldo gopay "
"313","biaya tambahan pesan gofood keterlaluan sih biaya bungkusbiaya aplikasi biaya nya yakin kalian gak tumbang hapus biaya yg gak guna "
"314","transfer malam pending banget kapok transfer dr gopay rekening bank yg xnya respon yg cepat "
"315"," binggung it gojek suka mengubah aplikasi driver aplikasi penumpang dampak menpengaruh driver kalo aplikasi udah bagus gak usah ubah sih saran terima kasih"
