review,0
,"Pemesanan go-food kurang memuaskan,sistem kupon terpakai secara otomatis menyulitkan. Saldo dan pesanan minimum sudah mencukupi namun kupon tidak dapat terpakai. Lokasi pengiriman makanan tidak sesuai GPS, ketika salah pilih tidak dapat di cancel, dikenakan charge tambahan sama driver karena tujuan pengantaran berbeda. Kecewa dengan kebijakan sekarang."
,"Sistem upgrade plus yg sangat buruk. Cuma bisa topup, tapi dipakai untuk transfer dan sejenisnya tidak bisa. Ktp dan foto sudah benar sesuai persyaratan, tapi berkali kali ditolak. Sangat jauh dibandingkan dengan aplikasi DANA atau OVO. Aplikasi gojek hanya cocok untuk order ojek dan service saja"
,Aplikasi tokai. Makin lama makin menurun performanya. Biaya layanan aja digedein tpi aplikasi makin anjlok. terus biaya layanan buat apa??? Tiba2 ngecancel sendiri pas udah lama nunggu. Dimuat ulang berulang kali juga gak bisa. Smpe restart hp dan coba pesen lagi yaa tetep gak bisaaaa. Terus maunyaa apaaa anjerrr Otw uninstall
,"Semua voucher yg ada diskon tidak bisa dipakai padahal pesanan sudah sesuai dengan minimal order,sangat berbeda sekali dengan grab yg dapat kita pilih diskonnya. Untuk gocarnya sangat jauh dari estimasi dari yg 2,4km tiba tiba menjadi 4,8km,jadinya waktu menunggu driver sangat lama"
,"Ini aplikasi gojek tampilan nya kenapa pula, tidak ada tampilan saldo dan mau lihat riwayat transaksi terakhir aja tidak bisa!!! Kocak ini aplikasi lama""!!! Ini pas di pilih bantuan dan laporan notif nya selalu server padat merayap!!! Hadeh..."
,"Berulang kali walau sudah di update kedua aplikasi tidak bisa menghubungkan pembayaran ke Tokopedia, sinyal oke pake wifi lagi, berulang kali direfresh kalo amu bukti foto nya saya kasih! Ini gimana jadi gak bisa klaim barang 1000 pengguna baru,,, kecewa"
,Tolong di perbaiki masalah gofood reguler sama hemat enggak ada bedanya sama sekali.... Saat pakai voucher diskon dan ongkir hemat harga nggak berubah tidak sesuai dengan layanan yang di sediakan juga waktu estimasi juga masa buat apa di bedakan di hitung juga cuma beda tulisan reguler sama hemat hasil sama aja nggak ada perbedaan y... Terimakasih...
,"aplikasi yang sangat membagong kan,nunggu driver hampir 1 jam ,driver gocar nya ke jebak macet,aneh padahal itu driver banyak yang terdekat tapi dapat nya yang 7 km,yang tadi nya ingin cepat malah telat,dah pindah aplikasi lain saja!!gojek kayak nya mau bangkrut"
,"Kenapa saat saya pesan go ride pemesanan sampai 3 kali !! padahal saya pesan cuman 1 kali dan itu langsung secara bersamaan,bahkan lokasi titik jemput yang sangat tidak sesuai ,yg di pesanan titik jemput nya berada di Jakarta ,padahal saya berada di Surabaya . Cara saya memesanan seperti biasanya saya pencet fitur one tap go ride ,tapi kok bisa titik jemput nya sangat tidak sesuai!! .Padahal hari sebelumnya fitur one tap bekerja dengan baik ,MOHON DIPERBAIKI🙏"
,"Aplikasinya aneh. Saya top up saldo gojek via bank transfer buat bayar tagihan PBB sebesar 265500. Sebelumnya saya cek dan totalin memang pas segitu. Setelah bayar tagihan kok malah kurang. Jadi saya top up lagi 10 ribu karena minumum ke ewallet segitu. Kena biaya admin lagi. Barulah bisa. Tertulis dapat caskback 4rb, 3.9 ribu, 4rb. Tapi gak ada. Kok saldonya kurang. Setelah transaksi kutotalin dan iya bener 265500. Lah kok harus ya saya top up 10 rb. Sisa saldo harusnya 10 rb dong, tapi 8,8 rb."
,"Bersiap siaplah menyusul JD.ID Goto ini 1. Tak punya jiwa kompetisi, padahal kompetitor baru mulai bermunculan dan berkembang 2. Tak ada inovasi baru ( monoton) cuma di situ2 saja 3. Cuma menaikan keuangan berlipat dengan dalih biaya ini itu, tanpa berpikir dampak ke depan 4. Lihatlah pelanggan anda sebagian sudah berpindah ke aplikasi sebelah ( masa tidak ada report dan kajian soal yang begini)"
,"Ini aplikasinya gimana? Kemarin2 gk ada fitur tarik tunai terus habis update ini muncul lagi fiturnya tpi gk bisa digunakan, kode transaksi nya gk muncul. Saya udah mencoba berulang kali tetep gk muncul kode transaksinya. Tolong dong diperbaiki lagi!!!"
,"(BURUK!) harga jauh lebih mahal dari GRAB, motor driver sering tidak sesuai di aplikasi, kondisi helm penumpang selalu jelek (bau, tali helm rusak, ga ada kaca), sering eror tiba2 (maps ga kebaca, padahal sudah pasang titik manual dan kondisi sinyal lancar, aplikasi ter-update)."
