suka,0
,96.0
,175.0
,1253.0
,265.0
,89.0
,127.0
,368.0
,40.0
,15.0
,125.0
,135.0
,49.0
,208.0
,38.0
,223.0
,267.0
,10.0
,94.0
,161.0
,570.0
,131.0
,93.0
,490.0
,54.0
,5.0
,7.0
,2.0
,3.0
,2.0
,17.0
,12.0
,8.0
,13.0
,3.0
,4.0
,7.0
,14.0
,6.0
,1.0
,13.0
,3.0
,1.0
,2.0
,6.0
,8.0
,7.0
,6.0
,5.0
,6.0
,10.0
,5.0
,21.0
,1.0
,8.0
,4.0
,9.0
,41.0
,110.0
,6.0
,8.0
,209.0
,31.0
,15.0
,91.0
,103.0
,3.0
,6.0
,61.0
,9.0
,4.0
,15.0
,8.0
,62.0
,6.0
,4.0
,4.0
,66.0
,500.0
,2.0
,3.0
,3.0
,3.0
,2.0
,2.0
,3.0
,227.0
,84.0
,6.0
,32.0
,61.0
,3.0
,2.0
,56.0
,18.0
,4.0
,2.0
,3.0
,6.0
,2.0
,5.0
,1.0
,0.0
,5.0
,3.0
,3.0
,3.0
,3.0
,4.0
,2.0
,3.0
,3.0
,9.0
,1.0
,1.0
,2.0
,4.0
,4.0
,0.0
,4.0
,2.0
,3.0
,1.0
,4.0
,0.0
,4.0
,11.0
,5.0
,27.0
,6.0
,6.0
,6.0
,0.0
,5.0
,2.0
,1.0
,0.0
,32.0
,3.0
,0.0
,3.0
,4.0
,2.0
,2.0
,1.0
,2.0
,10.0
,4.0
,3.0
,3.0
,3.0
,1.0
,1.0
,3.0
,1.0
,1.0
,2.0
,3.0
,1.0
,1.0
,1.0
,1.0
,22.0
,1.0
,1.0
,1.0
,1.0
,1.0
,2.0
,1.0
,1.0
,1.0
,0.0
,8.0
,18.0
,13.0
,18.0
,25.0
,15.0
,2.0
,1.0
,21.0
,12.0
,10.0
,9.0
,27.0
,9.0
,9.0
,11.0
,16.0
,5.0
,7.0
,5.0
,10.0
,12.0
,0.0
,5.0
,6.0
,9.0
,8.0
,19.0
,10.0
,11.0
,17.0
,10.0
,4.0
,10.0
,44.0
,3.0
,15.0
,4.0
,7.0
,12.0
,23.0
,9.0
,7.0
,11.0
,15.0
,19.0
,5.0
,17.0
,5.0
,4.0
,8.0
